#timestamp_kf,lcd_status,query_id,match_id,mono_input_size,mono_inliers,mono_iters,stereo_input_size,stereo_inliers,stereo_iters,pgo_size,pgo_lc_count,pgo_lc_inliers,update_duration_
1620391275792211008,NO_MATCHES,0,140378523054248,3327647950551526958,3327647950551526958,755642414,3255307777713450285,3255307777713450285,757935405,1,0,0,0
1620391275992338008,NO_MATCHES,1,140378527464072,3327647950551526958,3327647950551526958,755642414,3255307777713450285,3255307777713450285,757935405,2,0,0,0
1620391276192344008,NO_MATCHES,2,140378527464072,3327647950551526958,3327647950551526958,755642414,3255307777713450285,3255307777713450285,757935405,3,0,0,0
1620391276392352008,NO_MATCHES,3,140378527464072,3327647950551526958,3327647950551526958,755642414,3255307777713450285,3255307777713450285,757935405,4,0,0,0
1620391276592367008,NO_MATCHES,4,140378527464072,3327647950551526958,3327647950551526958,755642414,3255307777713450285,3255307777713450285,757935405,5,0,0,0
1620391276792368008,NO_MATCHES,5,140378527464072,3327647950551526958,3327647950551526958,755642414,3255307777713450285,3255307777713450285,757935405,6,0,0,0
1620391276992382008,NO_MATCHES,6,140378527464072,3327647950551526958,3327647950551526958,755642414,3255307777713450285,3255307777713450285,757935405,7,0,0,0
1620391277192382008,NO_MATCHES,7,140378527464072,3327647950551526958,3327647950551526958,755642414,3255307777713450285,3255307777713450285,757935405,8,0,0,0
1620391277392396008,NO_MATCHES,8,140378529266632,3327647950551526958,3327647950551526958,755642414,3255307777713450285,3255307777713450285,757935405,9,0,0,0
1620391277659028008,NO_MATCHES,9,140378531083944,3327647950551526958,3327647950551526958,755642414,3255307777713450285,3255307777713450285,757935405,10,0,0,0
1620391277859042008,NO_MATCHES,10,140378531083944,3327647950551526958,3327647950551526958,755642414,3255307777713450285,3255307777713450285,757935405,11,0,0,0
1620391278125797008,NO_MATCHES,11,140378531083944,3327647950551526958,3327647950551526958,755642414,3255307777713450285,3255307777713450285,757935405,12,0,0,0
1620391278325797008,NO_MATCHES,12,140378531083944,3327647950551526958,3327647950551526958,755642414,3255307777713450285,3255307777713450285,757935405,13,0,0,0
1620391278525806008,NO_MATCHES,13,140378531083944,3327647950551526958,3327647950551526958,755642414,3255307777713450285,3255307777713450285,757935405,14,0,0,0
1620391278725811008,NO_MATCHES,14,140378532916808,3327647950551526958,3327647950551526958,755642414,3255307777713450285,3255307777713450285,757935405,15,0,0,0
1620391278925827008,NO_MATCHES,15,140378532916808,3327647950551526958,3327647950551526958,755642414,3255307777713450285,3255307777713450285,757935405,16,0,0,0
1620391279192454008,NO_MATCHES,16,140378530391240,3327647950551526958,3327647950551526958,755642414,3255307777713450285,3255307777713450285,757935405,17,0,0,0
1620391279392463008,NO_MATCHES,17,140378536821800,3327647950551526958,3327647950551526958,755642414,3255307777713450285,3255307777713450285,757935405,18,0,0,0
